Article Number,URL of article,Fake or Satire?,URL of rebutting article,Fake or Satire?.1,content_1,content_2
15.0,http://usinfonews.com/index.php/2017/08/14/shock-claim-hillary-indicted-criminal-charges/,Fake,http://www.snopes.com/clinton-federal-racketeering-charges/,Fake,[],[]
16.0,http://usinfonews.com/index.php/2017/08/11/boom-president-trump-sent-michelle-obama-bill-shell-never-able-pay-lifetime/,Fake,http://www.snopes.com/trump-michelle-obama-11-billion/,Fake,[],[]
17.0,http://usinfonews.com/index.php/2017/07/12/obamas-birth-brother-breaks-silence-reveals-baracks-true-identity/,Fake, http://www.snopes.com/politics/obama/birthers/kenyacert.asp,Fake,[],[]
18.0,http://24wpn.com/index.php/2017/04/29/hillary-clinton-busted-in-the-middle-of-huge-pedophilia-ring-cover-up-at-state-department-video/,Fake,https://www.whitehouse.gov/the-press-office/2017/02/23/remarks-president-trump-listening-session-domestic-and-international,Fake,"['\n\n                    Click here to buy this domain.\n            ', '\n        This webpage was generated by the domain owner using Sedo Domain Parking. Disclaimer: Sedo maintains no relationship with third party advertisers. Reference to any specific service or trade mark is not controlled by Sedo nor does it constitute or imply its association, endorsement or recommendation.\n    ']",[]
19.0,http://24wpn.com/index.php/2017/04/29/breaking-sharia-law-is-gone-the-house-made-a-decision/,Fake,http://abcnews.go.com/Politics/us-house-vote-block-sharia-law/story?id=46578307,Fake,[],[]
20.0,http://24wpn.com/index.php/2017/08/21/breaking-wasserman-schultz-aide-imran-awan-under-investigation-for-allegedly-selling-secrets-to-russians/,Fake,https://www.nytimes.com/2017/07/28/us/politics/imran-awan-debbie-wasserman-shultz-pakistan.html?_r=0,Fake,[],[]
21.0,http://24wpn.com/index.php/2017/08/19/bombshell-new-evidence-suggests-we-are-not-being-told-everything-about-charlottesville/,Fake,http://www.snopes.com/were-police-told-stand-down-charlottesville/,Fake,[],[]
22.0,http://24wpn.com/index.php/2017/06/02/covfefe-mystery-solved/,Fake,http://www.snopes.com/covfefe-arabic-antediluvian/,Fake,[],[]
23.0,http://americannews.com/24812-2/,Fake,http://abcnews.go.com/Politics/republicans-bribes-hillary-clinton-sabotage-donald-trump/story?id=45064731,Fake,[],[]
24.0,http://americannews.com/24759-2/,Fake,http://www.snopes.com/un-official-john-ashe-killed-the-day-before-he-was-to-testify-against-hillary-clinton/,Fake,[],[]
25.0,http://americannews.com/breaking-islam-prohibited-public-schools-supreme-court-voted-thanks-trump/,Fake,http://www.factcheck.org/2017/04/scotus-didnt-ban-teaching-islam/,Fake,[],[]
26.0,http://americannews.com/obama-signs-executive-order-banning-the-pledge-of-allegiance-in-schools-nationwide/,Fake,http://www.factcheck.org/2016/09/obama-did-not-ban-the-pledge/,Fake,[],[]
27.0,http://americannews.com/what-donald-trump-did-for-200-marines-shows-who-he-really-is/,Fake,https://www.cnbc.com/2016/12/30/read-all-about-it-the-biggest-fake-news-stories-of-2016.html,Fake,[],[]
38.0,http://americanprides.com/2017/08/24/wikileaks-massive-exposure-here-are-6-republicans-who-took-bribes-from-clinton-to-destroy-trump/,Fake,http://abcnews.go.com/Politics/republicans-bribes-hillary-clinton-sabotage-donald-trump/story?id=45064731,Fake,[],[]
40.0,http://americanprides.com/2017/08/29/obama-stole-the-presidency-new-report-shows-millions-of-illegals-flipped-the-2008-election/,Fake,http://www.snopes.com/illegal-immigrants-2008-election/,Fake,[],[]
41.0,http://americanprides.com/2017/08/08/ben-carson-digs-up-obamas-filthiest-skeleton-500-billion-fraud/,Fake,http://www.factcheck.org/2017/04/carson-didnt-find-hud-errors/,Fake,[],[]
42.0,http://americanprides.com/2017/08/15/breaking-islam-prohibited-in-public-schools-supreme-court-voted-thanks-to-trump-2/,Fake,http://www.factcheck.org/2017/04/scotus-didnt-ban-teaching-islam/,Fake,[],[]
43.0,http://yournewswire.com/cia-hitler-argentina-ww2/,Fake,http://www.snopes.com/fbi-files-prove-adolf-hitler-escaped-to-argentina/,Fake,"['It seems we can’t find what you’re looking for. Perhaps searching can help.', 'The Queen dropped a bombshell yesterday while filming her 2020 Christmas Message for the BBC, warning of “a plot by certain forces” to unleash their vision of “a hell on Earth” for humanity.\xa0 In an […]', 'An email previously released by WikiLeaks reveals that a Dominion executive met with John Podesta to plot ways to help defeat Donald Trump in the presidential election. In 2018, Dominion Voting\xa0announced\xa0that it had been acquired […]', 'President Trump has amended federal execution rules to allow death by firing squad, sparking rumors that this may be the reason why Kamala Harris has gone into hiding since election day. Harris’ disappearance is noteworthy […]', '\n\t\t\tCopyright © 2020 | Your News Wire\t\t']",[]
44.0,http://yournewswire.com/planned-parenthood-exterminate-black/,Fake,http://www.politifact.com/new-hampshire/statements/2015/oct/05/ben-carson/did-margaret-sanger-believe-african-americans-shou/,Fake,"['It seems we can’t find what you’re looking for. Perhaps searching can help.', 'The Queen dropped a bombshell yesterday while filming her 2020 Christmas Message for the BBC, warning of “a plot by certain forces” to unleash their vision of “a hell on Earth” for humanity.\xa0 In an […]', 'An email previously released by WikiLeaks reveals that a Dominion executive met with John Podesta to plot ways to help defeat Donald Trump in the presidential election. In 2018, Dominion Voting\xa0announced\xa0that it had been acquired […]', 'President Trump has amended federal execution rules to allow death by firing squad, sparking rumors that this may be the reason why Kamala Harris has gone into hiding since election day. Harris’ disappearance is noteworthy […]', '\n\t\t\tCopyright © 2020 | Your News Wire\t\t']",[]
45.0,http://yournewswire.com/charlottesville-hillary-soros/,Fake,http://www.snopes.com/charlottesville-killer-radical-leftist/,Fake,"['It seems we can’t find what you’re looking for. Perhaps searching can help.', 'The Queen dropped a bombshell yesterday while filming her 2020 Christmas Message for the BBC, warning of “a plot by certain forces” to unleash their vision of “a hell on Earth” for humanity.\xa0 In an […]', 'An email previously released by WikiLeaks reveals that a Dominion executive met with John Podesta to plot ways to help defeat Donald Trump in the presidential election. In 2018, Dominion Voting\xa0announced\xa0that it had been acquired […]', 'President Trump has amended federal execution rules to allow death by firing squad, sparking rumors that this may be the reason why Kamala Harris has gone into hiding since election day. Harris’ disappearance is noteworthy […]', '\n\t\t\tCopyright © 2020 | Your News Wire\t\t']",[]
46.0,http://yournewswire.com/fbi-seth-rich-dnc/,Fake,http://www.snopes.com/seth-rich-dnc-wikileaks-murder/,Fake,"['It seems we can’t find what you’re looking for. Perhaps searching can help.', 'The Queen dropped a bombshell yesterday while filming her 2020 Christmas Message for the BBC, warning of “a plot by certain forces” to unleash their vision of “a hell on Earth” for humanity.\xa0 In an […]', 'An email previously released by WikiLeaks reveals that a Dominion executive met with John Podesta to plot ways to help defeat Donald Trump in the presidential election. In 2018, Dominion Voting\xa0announced\xa0that it had been acquired […]', 'President Trump has amended federal execution rules to allow death by firing squad, sparking rumors that this may be the reason why Kamala Harris has gone into hiding since election day. Harris’ disappearance is noteworthy […]', '\n\t\t\tCopyright © 2020 | Your News Wire\t\t']",[]
47.0,http://yournewswire.com/mit-global-warming-data-bunk/,Fake,http://www.snopes.com/climatology-fraud-global-warming/,Fake,"['It seems we can’t find what you’re looking for. Perhaps searching can help.', 'The Queen dropped a bombshell yesterday while filming her 2020 Christmas Message for the BBC, warning of “a plot by certain forces” to unleash their vision of “a hell on Earth” for humanity.\xa0 In an […]', 'An email previously released by WikiLeaks reveals that a Dominion executive met with John Podesta to plot ways to help defeat Donald Trump in the presidential election. In 2018, Dominion Voting\xa0announced\xa0that it had been acquired […]', 'President Trump has amended federal execution rules to allow death by firing squad, sparking rumors that this may be the reason why Kamala Harris has gone into hiding since election day. Harris’ disappearance is noteworthy […]', '\n\t\t\tCopyright © 2020 | Your News Wire\t\t']",[]
48.0,http://ourlandofthefree.com/2017/08/white-supremacist-who-killed-protester-is-a-democrat-and-visited-obama-in-oval-office/,Fake,http://www.snopes.com/white-supremacist-democrat/,Fake,[],[]
49.0,http://ourlandofthefree.com/2017/09/the-news-would-never-tell-you-such-a-thing/,Fake,http://www.snopes.com/obama-attach-personal-message-letter-wrote-trump/,Fake,[],[]
50.0,http://ourlandofthefree.com/2017/09/harvey-flooding-uncovers-secret-stash-of-ammo-hidden-by-obama-administration/,Fake,http://www.snopes.com/did-hurricane-harvey-uncover-obamas-secret-stash/,Fake,[],[]
51.0,http://ourlandofthefree.com/2017/08/nancy-pelosi-in-critical-condition-after-head-on-car-crash/,Fake,http://www.snopes.com/is-nancy-pelosi-critical-drunk-driving-accident/,Fake,[],[]
52.0,http://ourlandofthefree.com/2017/08/breaking-obama-personally-called-harvard-and-ordered-them-to-reverse-malias-suspension/,Fake,http://www.snopes.com/malia-obama-harvard/,Fake,[],[]
53.0,https://www.dailyinfobox.com/2017/04/17/breaking-pregnant-obama-mistress-revealed-picture/,Fake,http://www.snopes.com/obamas-divorce-pregnant-mistress/,Fake,['Coming soon.'],[]
54.0,https://www.dailyinfobox.com/2017/04/16/fbi-rumors-clinton-pedophile-ring-true/,Fake,http://www.snopes.com/pizzagate-conspiracy/,Fake,['Coming soon.'],[]
55.0,http://www.dailyinfobox.com/2017/01/31/executive-order-leads-capture-isis-leader-rasheed-muhammad/,Fake,http://www.snopes.com/trump-order-isis-leader-capture-jfk/,Fake,['Coming soon.'],[]
56.0,https://www.dailyinfobox.com/2017/04/13/breaking-julian-assange-found-dead-london-alley/,Fake,http://www.snopes.com/assange-dead-london-alley/,Fake,['Coming soon.'],[]
57.0,https://www.dailyinfobox.com/2017/02/24/u-s-district-attorney-announced-will-pursuing-charges-treason-former-president-barack-obama/,Fake,http://www.snopes.com/obama-charged-treason/,Fake,['Coming soon.'],[]
58.0,https://70news.wordpress.com/2017/09/07/massive-voter-fraud-in-new-hampshire-swung-elections-to-democrats-in-2016-elections/,Fake,http://www.factcheck.org/2017/09/kobachs-bogus-proof-voter-fraud/,Fake,"['This site has been archived or suspended for a violation of our Terms of Service.For more information and to contact us please read this support document.', '\nAn Automattic Experiment ']",[]
59.0,https://70news.wordpress.com/2017/09/02/irs-gives-after-school-satan-club-tax-exempt-status-in-10-days-christians-wait-years/,Fake,http://www.snopes.com/irs-satan-clubs/,Fake,"['This site has been archived or suspended for a violation of our Terms of Service.For more information and to contact us please read this support document.', '\nAn Automattic Opus ']",[]
60.0,https://70news.wordpress.com/2016/10/21/drug-holiday-reason-why-hillary-always-disappear-for-days-before-debate-drug-holiday-is-prescriped-for-patients-with-parkinsons-disease/,Fake,http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,Fake,"['This site has been archived or suspended for a violation of our Terms of Service.For more information and to contact us please read this support document.', '\nAn Automattic Experiment ']",[]
61.0,https://70news.wordpress.com/2016/10/10/camera-flash-trigger-hillary-seizure-secret-service-told-reporters-not-use-during-debate/,Fake,http://www.snopes.com/hillary-clinton-seizure-video/,Fake,"['This site has been archived or suspended for a violation of our Terms of Service.For more information and to contact us please read this support document.', '\nAn Automattic Medley ']",[]
68.0,https://newsbiblereport.com/index.php/2017/07/19/just-barack-obamas-daughter-murdered-drive-shootout-2/,Fake,http://www.snopes.com/sasha-obama-drive-by-shootout/,Fake,[],[]
70.0,http://howafrica.com/a-russian-writer-claiming-to-be-putins-lover-found-dead-in-his-swiss-apartment/,Fake,http://www.snopes.com/putin-lover-dead-switzerland/,Fake,"['\n\n\n\n\n\n\n\n', '\n\n\n\n\n\n\n\n', 'You are here: ', '\n\n\nby\n\n\nHow Africa\n\n\nApril 18, 2017, 9:27 am \n\n\n', 'Writer, Louri Michaelevitch, a former personnal assistant of the Russian President, was found dead last monday in his swiss appartment after some of the neighbors complained about the smell emanating from the residence.', 'According to the city’s police departmnent, many clues collected on the site suggest that he might have been the victim of an elaborate murder plot.', '', '“The police forces have only been able to proceed to preliminary analysis before we spotted a source of radiations on the scene and had to call a decontamination team” explains Sven Munger of the Zurich Police Department.”We can confirm that the radioactive agent is a very rare russian product named TCDD Dioxin. The clues we have collected are insufficient to pronounce a definitive conclusion, but the complexity of the of plot we have exposed greatly reduces the number of suspects.”', 'The victim had attracted a lot of attention from the Russian government and media in 2011 when he had written a book entitled “Я был любовник Путина” (“I was Putin’s Lover“), which was taken off the shelves before the official release, after a presidential decree. A warrant demanding the arrest of the author was also issued across Russia, leading him to file a demand of political asylum from the helvetic state.', 'Many sources also claim that Mr Michaelevitch had dinner with an attaché of the Russian embassy five days before his body was found, a case strangely similar to that of the former Ukrainian President Viktor Yushchenko in 1999.', 'See more', '404 Shares', '\n\n\t\t\tRead More\t\t\n', '360 Shares', '\n\n\t\t\tRead More\t\t\n', '320 Shares', '\n\n\t\t\tRead More\t\t\n', '\n\n\t\t\t\t\t\tTrending\t\t\t\t\t\n', '400 Shares', '\n\n\t\t\tRead More\t\t\n', 'Your email address will not be published. Required fields are marked *', 'Comment ', 'Name * ', 'Email * ', 'Website ', '', 'Please input characters displayed above.', ' \n\n', '', 'This site uses Akismet to reduce spam. Learn how your comment data is processed.', '\n\n\t\t\t\t\t\tHot\t\t\t\t\t\n', '720 Shares', '\n\n\t\t\tRead More\t\t\n', '\n\n\t\t\t\t\t\tHot\t\t\t\t\t\n', '600 Shares', '\n\n\t\t\tRead More\t\t\n', '– Advertisment –\n\n\n', '720 Shares', '\n\n\t\t\tRead More\t\t\n', '480 Shares', '\n\n\t\t\tRead More\t\t\n', '360 Shares', '\n\n\t\t\tRead More\t\t\n', '440 Shares', '\n\n\t\t\tRead More\t\t\n', '400 Shares', '\n\n\t\t\tRead More\t\t\n', '\n\n\t\t\t\t\t\tHot\t\t\t\t\t\n\n\t\t\t\t\t\tPopular\t\t\t\t\t\n', '517 Shares', '\n\n\t\t\tRead More\t\t\n', '\n\n\n', '', 'Please check if there are posts that match all the below criteria. If not, remove the wrong ones in the widget settings.', '© 2016 by Jetheights Services']",[]
71.0,https://www.geopolitica.ru/en/news/clintons-assistant-j-w-mcgill-found-dead,Fake,http://www.snopes.com/clinton-mcgill-found-dead/,Fake,"['\xa0', '\xa0', ""Johnston Wilson McGill, 34, was pronounced dead on his couch by a private doctor after suffering an apparent heart attack. It has happened just days after being summoned to appear before Trey Gowdy’s congressional committee to testify about Hillary Clinton’s email server. McGill was one of Clinton's aides. The death was reported hapanned at her home of “natural causes.”"", 'A spokesman for Clinton’s former campaign said that Huma Abedin, Clinton’s deputy campaign coordinator, found McGill when she stopped by for coffee to discuss Clinton’s plans for a run for Mayor of New York.', 'Trey\xa0 Gowdy’s office had no official statement but his top aide, Mandy Gonsales, said that the committee isn’t happy with the circumstances of McGill’s death or the fact that his own doctor was summoned to pronounce. Abedin says she called the private doctor because she hoped he could save her friend.', 'There will be no autopsy on the body, which will be cremated before sunset in accordance with his religion. McGill is the single son of deceased parents and has no family. No services are planned.', 'Does this whole thing seem a little bit odd to anyone else? It feels oddly like we’ve seen things like this happen before to people who could possibly incriminate Hillary Clinton. Unfortunately, as the doctor who pronounced has an impeccable record and is an authorized coroner in new York, the findings will be accepted and entered into public record.', '', '©2021', '\xa0']",[]
72.0,http://democraticreview.com/breaking-attorney-general-jeff-sessions-to-be-disbarred-after-complaint-filed-by-thousands-of-lawyers/,Fake,http://www.snopes.com/jeff-sessions-disbarred/,Fake,['The requested URL /breaking-attorney-general-jeff-sessions-to-be-disbarred-after-complaint-filed-by-thousands-of-lawyers/ was not found on this server.'],[]
78.0,http://www.dailyinsidernews.com/military/kim-jong-un-bows/,Fake,http://www.snopes.com/2017/08/11/trump-locked-loaded-north-korea/,Fake,[],[]
79.0,http://www.dailyinsidernews.com/government-corruption/report-dnc-hack-inside-job/,Fake,http://www.snopes.com/2016/06/17/guccifer-2-0-claims-responsibility-for-dnc-hack/,Fake,[],[]
82.0,http://dailypostfeed.com/texas-mosque-refuses-to-help-refugees-allah-forbids-helping-infidels/,Fake,http://www.snopes.com/did-texas-mosque-refuse-help-harvey-survivors/,Fake,[],[]
83.0,http://dailypostfeed.com/michelle-obama-sued-for-fraud/,Fake,http://www.newsweek.com/faux-scandal-michelle-obamas-spain-trip-213760,Fake,[],[]
86.0,http://dailypostfeed.com/antifa-burned-churches-in-9-states-to-the-ground-overnight/,Fake,https://www.theatlantic.com/magazine/archive/2017/09/the-rise-of-the-violent-left/534192/,Fake,[],[]
90.0,http://americanflavor.news/2017/08/02/muslim-federal-judge-rules-two-items-sharia-law-legal/,Fake,http://www.snopes.com/muslim-federal-judge-sharia/,Fake,['Please contact support'],[]
91.0,http://americanflavor.news/2017/08/01/trump-orders-13-obama-deep-state-operatives-arrested-treason/,Fake,http://www.politifact.com/punditfact/statements/2017/aug/09/blog-posting/fake-news-claim-trump-arrests-top-obama-officials-/,Fake,['Please contact support'],[]
92.0,http://americanflavor.news/2017/04/20/supreme-court-ruling-no-islam-public-schools-support/,Fake,http://www.snopes.com/sharia-law-trump-schools-supreme-court/,Fake,['Please contact support'],[]
93.0,http://americanflavor.news/2017/04/18/liberal-hero-amy-schumer-goes-red-carpet-jail-threatening-trump-live-tv/,Fake,http://www.snopes.com/amy-schumer-arrested/,Fake,['Please contact support'],[]
94.0,http://americanflavor.news/2017/06/26/obama-have-a-mistress-she-is-pregnant/,Fake,http://www.snopes.com/obamas-divorce-pregnant-mistress/,Fake,['Please contact support'],[]
95.0,http://flashnewscorner.com/obama-brought-questioning-ties-barcelona-terrorist/,Fake,http://www.snopes.com/dontray-mills/,Fake,[],[]
96.0,http://flashnewscorner.com/nancy-pelosi-met-russian-ambassador-discussed-plans-frame-donald-trump/,Fake,http://www.snopes.com/nancy-pelosi-arrested-coup-attempt/,Fake,[],[]
97.0,http://flashnewscorner.com/obama-remote-hacking-base-germany/,Fake,http://www.politico.com/story/2017/09/02/obama-trump-tower-wiretap-no-evidence-242284; http://www.foxnews.com/us/2017/03/10/what-wikileaks-document-dump-tells-us-about-cias-frankfurt-base.html,Fake,[],[]
98.0,http://flashnewscorner.com/coroner-body-isnt-hillary-clinton-faked-death/,Fake,http://www.snopes.com/clinton-body-chappaqua-waitress/,Fake,[],[]
99.0,http://flashnewscorner.com/fbi-raids-clinton-foundation/,Fake,http://www.snopes.com/comey-clinton-foundation/,Fake,[],[]
100.0,http://politicot.com/chris-christie-womens-viagra-pill-will-only-increase-lesbianism/,Fake,http://www.snopes.com/christie-pills-women/,Fake,[],[]
102.0,http://newslo.com/roger-stone-blames-obama-possibility-trump-alzheimers-attacks-president-caused-severe-stress/,Fake,http://www.snopes.com/donald-trumps-intelligence-quotient/,Fake,"['The whispers are growing louder that President Donald Trump may be suffering some sort of mental decline and cognitive impairment – and his longtime pal Roger Stone thinks it’s a conspiracy. MSNBC’s Joe Scarborough, who has known the president for years, has been suggesting on air that Trump is suffering from mental decline and possibly even dementia. Stone, who has known the president for decades and claims to remain in close contact, told InfoWars founder Alex Jones the concerns about Trump’s mental state were part of a plot to remove him from the White House, reported Mediaite. “They are going to claim that Donald Trump has Alzheimer’s…and that is the source of his insanity,” Stone told Jones.', '“Look, Alex – I’ve known Donald Trump for many years now and during that time I’ve gotten very close with him,” Stone said. “Just like you’re able to tell when your mother or father or some other family member or friend you spend a lot of time with starts to change in any way, I’m also able to tell you all of Donald’s little habits, mannerisms, quirky gestures he makes when he speaks and even predict what he’s going to say and how he’s going to behave depending on his mood. As a matter of fact, I’d even go so far as to say that the man is more like a brother to me than a friend. And like I said, when you’ve spent that much time with someone and gotten to know virtually everything about them, it’s very easy to tell if and when they start behaving oddly. You know what I mean?”', 'Stone continued, “I’m telling you right here and now – it’s all one huge conspiracy to get people to believe Donald is unfit for duty and get him out of the White House. It’s the only option they have left, since they couldn’t beat him the normal way. Donald Trump does not have Alzheimer’s, dementia or whatever else they’re saying he’s suffering from.” Jones asked, “But look, I hear you, I get what you’re saying and I’m on your side, but you have to admit – he’s not a young man anymore, he’s 70 years old and he’s continuously been exposed to huge amounts of stress on a daily level for decades. Are you saying that’s not even a remote possibility?” Stone replied, “Well, that’s the thing, Alex – I’m not a doctor. I’ve spoken to him recently and he was his usual self, from what I could gather.”', '“That being said, in my book, he’s the same, old Donald whom I’ve known for years and years. Of course, as I mentioned – I’m not a doctor or a professional, so I don’t have any medical argumentation to support my claims. But, I will say this: in the unlikely event I’m wrong and he does have a mental impairment, it’s Barack Obama’s fault. I mean, Barack Obama has attacked Donald Trump since the moment he realized that Donald was thinking about running for president – I think even before he initiated his campaign. His attacks on Donald Trump caused immense stress on a daily level because, that’s the thing – Obama had no other arguments to dispute Donald’s campaign other than to make jokes about how he’s a bad employer and how business is all he’s ever been good at. Sure, he’s not a politician, but he’s a self-made man. In my book, that’s way better than being a so-called Democrat who cares more about illegal and Muslim immigrants than he does for his own people. So, I would certainly understand if Donald has Alzheimer’s because of Barack Obama,” Stone concluded.', '', 'You must be logged in to post a comment.', 'Input your search keywords and press Enter.']",[]
104.0,http://newslo.com/bill-oreilly-companies-trump-must-say-merry-christmas-will-forced-send-employees-religious-classes/,Fake,http://www.snopes.com/donald-trump-themed-ornaments-made-in-china/,Fake,"['Of all the voices crusading against the so-called “War on Christmas,” perhaps no TV personality has lent their star power to the fight against encroaching secular influence that Fox News host Bill O’Reilly has. On Thursday, the O’Reilly Factor host called out the “companies that kind of marginalized Christmas” this year by failing to use the word in their holiday advertisements and promotions, including Best Buy, Barnes & Noble and Victoria’s Secret. “Those companies are not in the Christmas spirit,” O’Reilly complained. “And that’s bad news for them, because Donald Trump is on the case.”', 'The pundit argued that the companies in question will be “forced to send employees to religious classes” if they continue to avoid greeting their customers with the words “Merry Christmas.” “They’ve got a lot of nerve,” he said. “The vast majority of the people that frequent their stores are Christians, traditional Americans and people who respect and honor these sort of traditions. And when you, as a company that’s making money directly off of your customers, refuse to adopt the same values and traditions as your market, you’re done. I know it sounds cruel, but that’s just the name of the game.”', '“And while we’re on the subject,” O’Reilly continued, “that’s also one of the things I have a problem with in American society as of late. We’re a nation of immigrants, bla bla bla, everybody already knows the whole story. However, the whole point of America is, we’re supposed to be always accepting new immigrants, which we’re doing, by the boatloads, but at the same time, we’re also supposed to be assimilating them into American society. After a period of time, they’re supposed to become Americans, not stay whatever they were before they came here. And that also goes for religion, as well.”', 'The host also added, “And before someone calls me up and accuses me of being bigoted, let me just say that I don’t think all naturalized Americans should be Christians. Everybody here is completely entitled to their own religious freedom. However, that doesn’t change the fact that the majority of the people born in this country are, in fact, Christians. And given that it’s our country, not that of our immigrant new citizens – we ought to be greeted with ‘Merry Christmas’ when we walk into the aforementioned stores to spend our hard earned money. And when our immigrant citizens greet us there as part of their jobs, they should remember that they came to work to America, not the other way around.”', '“And if the aforementioned companies don’t start instructing their employees to use ‘Merry Christmas’ as an official greeting soon, they are going to be forced to send their employees off to religious training lessons and classes, where they will be trained in everything Christianity stands for. And that’s going to be the hard way to solve this problem, since the easy way is not likely to work – I can see that even now. So, either companies teach their off-the-books immigrant workers to pronounce the words ‘Merry Christmas’ when they see a white American person walking into their store, or Uncle Sam is going to do it for them. And trust me, guys – you’re not going to like what Uncle Sam has planned. I can’t tell you all the details, but I’m fairly certain it’ll include the words ‘water’ and  ‘boarding’ at some point,” O’Reilly concluded.', '', 'You must be logged in to post a comment.', 'Input your search keywords and press Enter.']",[]
105.0,http://conservativearmy88.com/today-trump-authorizes-congress-pursue-criminal-charges-hillary/,Fake,http://www.politifact.com/punditfact/statements/2017/may/31/blog-posting/fake-story-about-president-trump-greenlighting-con/,Fake,[],[]
106.0,http://conservativearmy88.com/npr-25-million-votes-clinton-completely-fake-lost-popular-vote-2/,Fake,https://www.snopes.com/25-million-fraud-votes-for-clinton/,Fake,[],[]
107.0,http://conservativearmy88.com/cconfirmed-mueller-team-can-disbarred-clinton-conflicts-trump-case/,Fake,http://www.snopes.com/hillary-clinton-robert-mueller-uranium/,Fake,[],[]
108.0,http://conservativearmy88.com/trump-won-presidency-ford-shifts-truck-production-mexico-ohio/,Fake,http://www.factcheck.org/2015/10/trumps-bogus-boast-on-ford/,Fake,[],[]
109.0,http://conservativearmy88.com/denzel-washington-backs-trump-epic-way-possible/,Fake,http://www.politifact.com/punditfact/statements/2016/nov/16/americanpoliticnews/fake-story-says-denzel-washington-supports-donald-/,Fake,[],[]
110.0,http://www.redrocktribune.com/feds-raid-nys-islamberg/,Fake,http://www.snopes.com/islamberg-raid/,Fake,[],[]
113.0,http://www.redrocktribune.com/proof-obama-tapped-trump/,Fake,http://www.factcheck.org/2017/03/still-no-evidence-mr-president/,Fake,[],[]
114.0,http://www.redrocktribune.com/minnesota-muslims-take-down-infidels/,Fake,http://www.politifact.com/punditfact/statements/2017/jul/03/blog-posting/no-minnesota-did-not-pass-anti-blasphemy-law-s-isl/,Fake,[],[]
